"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"54911","생활서비스시설_공원_0837","ZON216","생활서비스시설_공원"," "," ","어린이공원(남가좌8)"," ","",""
"54912","생활서비스시설_공원_0839","ZON216","생활서비스시설_공원"," "," ","마을마당(홍제3동6-71일대골목공원)"," ","",""
"54913","생활서비스시설_공원_0843","ZON216","생활서비스시설_공원"," "," ","마을마당(굴레방)"," ","",""
"54914","생활서비스시설_공원_0844","ZON216","생활서비스시설_공원"," "," ","도시자연공원((북한산)<시공원>)"," ","",""
"54915","생활서비스시설_공원_0845","ZON216","생활서비스시설_공원"," "," ","근린공원(궁동<시공원>)"," ","",""
"54916","생활서비스시설_공원_0852","ZON216","생활서비스시설_공원"," "," ","어린이공원(독립문)"," ","",""
"54917","생활서비스시설_공원_0856","ZON216","생활서비스시설_공원"," "," ","마을마당(홍은3동217주민휴식녹지대)"," ","",""
"54918","생활서비스시설_공원_0861","ZON216","생활서비스시설_공원"," "," ","어린이공원(은가)"," ","",""
"54919","생활서비스시설_공원_0862","ZON216","생활서비스시설_공원"," "," ","어린이공원(실락)"," ","",""
"54920","생활서비스시설_공원_0867","ZON216","생활서비스시설_공원"," "," ","마을마당(삼각)"," ","",""
"54921","생활서비스시설_공원_0868","ZON216","생활서비스시설_공원"," "," ","어린이공원(큰바위)"," ","",""
"54922","생활서비스시설_공원_0870","ZON216","생활서비스시설_공원"," "," ","마을마당(문화소공원)"," ","",""
"54923","생활서비스시설_공원_0872","ZON216","생활서비스시설_공원"," "," ","어린이공원(백련)"," ","",""
"54924","생활서비스시설_공원_0901","ZON216","생활서비스시설_공원"," "," ","마을마당(공덕동)"," ","",""
"54925","생활서비스시설_공원_0740","ZON216","생활서비스시설_공원"," "," ","도시자연공원(북한산(시공원))"," ","",""
"54926","생활서비스시설_공원_0741","ZON216","생활서비스시설_공원"," "," ","마을마당(구산동마을공원)"," ","",""
"54927","생활서비스시설_공원_0743","ZON216","생활서비스시설_공원"," "," ","어린이공원(갈곡리)"," ","",""
"54928","생활서비스시설_공원_0745","ZON216","생활서비스시설_공원"," "," ","어린이공원(연서)"," ","",""
"54929","생활서비스시설_공원_0746","ZON216","생활서비스시설_공원"," "," ","도시자연공원(봉산<시공원>)"," ","",""
"54930","생활서비스시설_공원_0747","ZON216","생활서비스시설_공원"," "," ","마을마당(수색)"," ","",""
"54931","생활서비스시설_공원_0748","ZON216","생활서비스시설_공원"," "," ","어린이공원(불광)"," ","",""
"54932","생활서비스시설_공원_0750","ZON216","생활서비스시설_공원"," "," ","어린이공원(인조유기비)"," ","",""
"54933","생활서비스시설_공원_0751","ZON216","생활서비스시설_공원"," "," ","어린이공원(매바위)"," ","",""
"54934","생활서비스시설_공원_0753","ZON216","생활서비스시설_공원"," "," ","마을마당(대조동사무소옆)"," ","",""
