"성동구","35~39세",22405,11202,11203,100.0,21502,10760,10742,100.2
"성동구","40~44세",21558,11030,10528,104.8,20796,10628,10168,104.5
"성동구","45~49세",19679,9775,9904,98.7,19076,9487,9589,98.9
"성동구","50~54세",23426,11361,12065,94.2,22643,10993,11650,94.4
"성동구","55~59세",21051,10294,10757,95.7,20341,9962,10379,96.0
"성동구","60~64세",21605,10629,10976,96.8,21027,10374,10653,97.4
"성동구","65~69세",16399,7753,8646,89.7,16017,7581,8436,89.9
"성동구","70~74세",11208,5150,6058,85.0,11056,5080,5976,85.0
"성동구","75~79세",8705,3722,4983,74.7,8648,3701,4947,74.8
"성동구","80~84세",6497,2651,3846,68.9,6475,2646,3829,69.1
"성동구","85~89세",2917,984,1933,50.9,2907,981,1926,50.9
"성동구","90~94세",894,246,648,38.0,891,245,646,37.9
"성동구","95~99세",192,42,150,28.0,190,41,149,27.5
"성동구","100세이상",33,7,26,26.9,31,7,24,29.2
"성동구","15세미만",26146,13324,12822,103.9,25682,13106,12576,104.2
"성동구","15~64세",209140,102855,106285,96.8,199643,98714,100929,97.8
"성동구","65세이상",46845,20555,26290,78.2,46215,20282,25933,78.2
"성동구","85세이상",4036,1279,2757,46.4,4019,1274,2745,46.4
"성동구","평균연령",43.4,42.7,44.1,-,43.7,42.9,44.5,-
"성동구","중위연령",42.8,42.2,43.5,-,43.2,42.5,44.1,-
"광진구","합계",346519,165843,180676,91.8,326453,157253,169200,92.9
"광진구","0~4세",7012,3612,3400,106.2,6710,3454,3256,106.1
"광진구","5~9세",9458,4889,4569,107.0,9127,4730,4397,107.6
"광진구","10~14세",11076,5704,5372,106.2,10842,5582,5260,106.1
"광진구","15~19세",13370,6547,6823,96.0,12632,6268,6364,98.5
"광진구","20~24세",28551,12612,15939,79.1,24629,11282,13347,84.5
"광진구","25~29세",38369,17977,20392,88.2,35631,16928,18703,90.5
"광진구","30~34세",31273,15595,15678,99.5,29388,14767,14621,101.0
"광진구","35~39세",24678,12290,12388,99.2,23124,11517,11607,99.2
"광진구","40~44세",24828,12215,12613,96.8,23622,11625,11997,96.9
"광진구","45~49세",24271,11909,12362,96.3,23179,11363,11816,96.2
"광진구","50~54세",28339,13597,14742,92.2,26813,12907,13906,92.8
"광진구","55~59세",25958,12596,13362,94.3,24149,11751,12398,94.8
"광진구","60~64세",25819,12306,13513,91.1,24433,11672,12761,91.5
"광진구","65~69세",19532,9250,10282,90.0,18742,8870,9872,89.9
"광진구","70~74세",13097,6016,7081,85.0,12773,5877,6896,85.2
"광진구","75~79세",9614,4314,5300,81.4,9505,4276,5229,81.8
"광진구","80~84세",6925,3020,3905,77.3,6853,2999,3854,77.8
"광진구","85~89세",3081,1061,2020,52.5,3041,1053,1988,53.0
"광진구","90~94세",1003,268,735,36.5,997,267,730,36.6
"광진구","95~99세",228,53,175,30.3,227,53,174,30.5
"광진구","100세이상",37,12,25,48.0,36,12,24,50.0
"광진구","15세미만",27546,14205,13341,106.5,26679,13766,12913,106.6
"광진구","15~64세",265456,127644,137812,92.6,247600,120080,127520,94.2
"광진구","65세이상",53517,23994,29523,81.3,52174,23407,28767,81.4
"광진구","85세이상",4349,1394,2955,47.2,4301,1385,2916,47.5
"광진구","평균연령",42.9,42.4,43.4,-,43.2,42.6,43.7,-
"광진구","중위연령",41.8,41.5,42.2,-,42.2,41.7,42.8,-
"동대문구","합계",350709,169670,181039,93.7,328651,161239,167412,96.3
"동대문구","0~4세",8326,4186,4140,101.1,8146,4103,4043,101.5
"동대문구","5~9세",10255,5271,4984,105.8,10080,5194,4886,106.3
"동대문구","10~14세",10353,5346,5007,106.8,10253,5295,4958,106.8
"동대문구","15~19세",13403,6371,7032,90.6,12339,6075,6264,97.0
"동대문구","20~24세",35702,14925,20777,71.8,28187,12623,15564,81.1
"동대문구","25~29세",34766,17440,17326,100.7,30501,15785,14716,107.3
"동대문구","30~34세",26369,13437,12932,103.9,24393,12558,11835,106.1
"동대문구","35~39세",23769,12243,11526,106.2,22380,11618,10762,108.0
